From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
Q9P258	Q9P258	reviewed	RCC2_HUMAN	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	RCC2 KIAA1470 TD60	Homo sapiens (Human)	522	GO:0003723; GO:0005085; GO:0005730; GO:0005829; GO:0005874; GO:0005886; GO:0007049; GO:0007229; GO:0008017; GO:0010762; GO:0010971; GO:0019901; GO:0019904; GO:0030334; GO:0030496; GO:0031267; GO:0031901; GO:0034260; GO:0034506; GO:0045184; GO:0048041; GO:0051301; GO:0051895; GO:0051987; GO:0072356; GO:0090630; GO:1900025; GO:1900027; GO:1990023
C3XVM1	C3XVM1	reviewed	GATC_BRAFL	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)	BRAFLDRAFT_270748	Branchiostoma floridae (Florida lancelet) (Amphioxus)	149	GO:0005524; GO:0005739; GO:0006450; GO:0030956; GO:0032543; GO:0050567; GO:0070681
Q5ZLD7	Q5ZLD7	reviewed	VPS53_CHICK	Vacuolar protein sorting-associated protein 53 homolog	VPS53 RCJMB04_6k3	Gallus gallus (Chicken)	831	GO:0000938; GO:0005829; GO:0010008; GO:0015031; GO:0032456; GO:0042147; GO:0055037; GO:1990745
Q8IY37	Q8IY37	reviewed	DHX37_HUMAN	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)	DHX37 DDX37 KIAA1517	Homo sapiens (Human)	1157	GO:0000462; GO:0003723; GO:0003724; GO:0004386; GO:0005524; GO:0005654; GO:0005730; GO:0005737; GO:0007420; GO:0016887; GO:0031965; GO:0032040; GO:0034511; GO:0042254; GO:0042255; GO:0042274; GO:2000020
Q6DGR4	Q6DGR4	reviewed	HGH1_DANRE	Protein HGH1 homolog	hgh1 brp16 fam203a zgc:92803	Danio rerio (Zebrafish) (Brachydanio rerio)	377	
Q641W4	Q641W4	reviewed	RFC2_RAT	Replication factor C subunit 2 (Activator 1 subunit C2)	Rfc2	Rattus norvegicus (Rat)	349	GO:0003677; GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006261; GO:0006281; GO:0016887; GO:0017116; GO:0019899; GO:0031390; GO:1900264
Q8C1R0	Q8C1R0	reviewed	TSSK5_MOUSE	Testis-specific serine/threonine-protein kinase 5 (TSK-5) (TSSK-5) (Testis-specific kinase 5) (EC 2.7.11.1)	Tssk5	Mus musculus (Mouse)	372	GO:0000287; GO:0004674; GO:0005524; GO:0006468; GO:0007283; GO:0030154; GO:0031588; GO:0032007; GO:0035556; GO:0042149; GO:0106310
Q2KJ16	Q2KJ16	reviewed	PHKG2_BOVIN	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-2)	PHKG2	Bos taurus (Bovine)	406	GO:0004689; GO:0005516; GO:0005524; GO:0005829; GO:0005964; GO:0005978; GO:0005980; GO:0006468
Q16816	Q16816	reviewed	PHKG1_HUMAN	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1, EC 2.7.11.26)	PHKG1 PHKG	Homo sapiens (Human)	387	GO:0004689; GO:0005516; GO:0005524; GO:0005829; GO:0005964; GO:0005975; GO:0005978; GO:0006468; GO:0019899; GO:0050321; GO:0106310
Q0VGK4	Q0VGK4	reviewed	GDPD1_RAT	Lysophospholipase D GDPD1 (EC 3.1.4.-) (Glycerophosphodiester phosphodiesterase 4) (Glycerophosphodiester phosphodiesterase domain-containing protein 1)	Gdpd1	Rattus norvegicus (Rat)	314	GO:0004622; GO:0005783; GO:0005789; GO:0006644; GO:0008081; GO:0016020; GO:0046475; GO:0046872; GO:0048471; GO:0070291
Q9JMJ4	Q9JMJ4	reviewed	PRP19_RAT	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Neuronal differentiation-related gene protein) (PRP19/PSO4 homolog) (RING-type E3 ubiquitin transferase PRP19)	Prpf19 Prp19	Rattus norvegicus (Rat)	504	GO:0000077; GO:0000209; GO:0000244; GO:0000245; GO:0000398; GO:0000974; GO:0001833; GO:0004842; GO:0005634; GO:0005662; GO:0005681; GO:0005737; GO:0005811; GO:0005819; GO:0006303; GO:0008104; GO:0008610; GO:0010498; GO:0016607; GO:0034450; GO:0035861; GO:0042802; GO:0045665; GO:0045666; GO:0048026; GO:0048711; GO:0061630; GO:0070534; GO:0071006; GO:0071007; GO:0071013
Q15485	Q15485	reviewed	FCN2_HUMAN	Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)	FCN2 FCNL	Homo sapiens (Human)	313	GO:0001867; GO:0002752; GO:0003823; GO:0005102; GO:0005576; GO:0005581; GO:0005615; GO:0006508; GO:0008228; GO:0009897; GO:0042802; GO:0043394; GO:0043654; GO:0046872; GO:0048306; GO:0050829; GO:0050830; GO:0062023; GO:0070062; GO:0072562; GO:1903028; GO:1905370; GO:2001065
Q9H147	Q9H147	reviewed	TDIF1_HUMAN	Deoxynucleotidyltransferase terminal-interacting protein 1 (Terminal deoxynucleotidyltransferase-interacting factor 1) (TdIF1) (TdT-interacting factor 1)	DNTTIP1 C20orf167 TDIF1	Homo sapiens (Human)	329	GO:0000118; GO:0003677; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0031491; GO:0042803
P18887	P18887	reviewed	XRCC1_HUMAN	DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)	XRCC1	Homo sapiens (Human)	633	GO:0000012; GO:0000781; GO:0000785; GO:0001666; GO:0005634; GO:0005654; GO:0005730; GO:0006284; GO:0006303; GO:0009410; GO:0010033; GO:0010836; GO:0019899; GO:0021587; GO:0021766; GO:0032356; GO:0033194; GO:0050882; GO:0061819; GO:0070522; GO:0072572; GO:0090734; GO:0160002; GO:1903518; GO:1904877; GO:1905765; GO:1990414; GO:1990599
Q5SW45	Q5SW45	reviewed	MKS1_MOUSE	Tectonic-like complex member MKS1 (Meckel syndrome type 1 protein homolog)	Mks1	Mus musculus (Mouse)	561	GO:0001843; GO:0003271; GO:0005737; GO:0005813; GO:0005814; GO:0007368; GO:0008589; GO:0010669; GO:0016020; GO:0035869; GO:0036038; GO:0036064; GO:0042733; GO:0044458; GO:0048706; GO:0048754; GO:0060122; GO:0060271; GO:0060322; GO:0060411; GO:0060828; GO:0061009; GO:1901620; GO:1905515; GO:1990403; GO:2000095
D3ZSZ3	D3ZSZ3	reviewed	NLK_RAT	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase)	Nlk	Rattus norvegicus (Rat)	527	GO:0000287; GO:0004672; GO:0004674; GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006355; GO:0006468; GO:0007179; GO:0016055; GO:0018107; GO:0030178; GO:0031625; GO:0035556; GO:0042169; GO:0042501; GO:0046777; GO:0050821; GO:0106310; GO:0140297
Q5RFD6	Q5RFD6	reviewed	CBPM_PONAB	Carboxypeptidase M (CPM) (EC 3.4.17.12)	CPM	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	443	GO:0004181; GO:0005886; GO:0006508; GO:0008270
P12815	P12815	reviewed	PDCD6_MOUSE	Programmed cell death protein 6 (ALG-257) (Apoptosis-linked gene 2 protein) (ALG-2) (PMP41)	Pdcd6 Alg2	Mus musculus (Mouse)	191	GO:0000287; GO:0001525; GO:0001938; GO:0005509; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005783; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006915; GO:0006919; GO:0010595; GO:0014029; GO:0014032; GO:0030127; GO:0030674; GO:0030948; GO:0031410; GO:0031463; GO:0032007; GO:0034605; GO:0036324; GO:0042802; GO:0042803; GO:0043280; GO:0043495; GO:0045766; GO:0046983; GO:0048208; GO:0048306; GO:0051592; GO:0051898; GO:0070971; GO:1902527; GO:1990756
Q80V03	Q80V03	reviewed	ADCK5_MOUSE	Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-)	Adck5	Mus musculus (Mouse)	582	GO:0004674; GO:0005739; GO:0016020; GO:0016310
P05090	P05090	reviewed	APOD_HUMAN	Apolipoprotein D (Apo-D) (ApoD)	APOD	Homo sapiens (Human)	189	GO:0000302; GO:0001525; GO:0005319; GO:0005576; GO:0005615; GO:0005783; GO:0006006; GO:0006629; GO:0007420; GO:0007568; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0070062; GO:0071638; GO:1900016; GO:2000098; GO:2000405
Q9QXA6	Q9QXA6	reviewed	BAT1_MOUSE	b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)	Slc7a9 Bat1	Mus musculus (Mouse)	487	GO:0003333; GO:0005886; GO:0006865; GO:0015171; GO:0015175; GO:0015184; GO:0015297; GO:0015804; GO:0015811; GO:0016324; GO:0031526; GO:0042605; GO:0046982
O46639	O46639	reviewed	TRHR_BOVIN	Thyrotropin-releasing hormone receptor (TRH-R) (Thyroliberin receptor)	TRHR	Bos taurus (Bovine)	398	GO:0004997; GO:0005886; GO:0007200
P34981	P34981	reviewed	TRFR_HUMAN	Thyrotropin-releasing hormone receptor (TRH-R) (Thyroliberin receptor)	TRHR	Homo sapiens (Human)	398	GO:0004997; GO:0005886; GO:0007186; GO:0007200
Q14BI2	Q14BI2	reviewed	GRM2_MOUSE	Metabotropic glutamate receptor 2 (mGluR2)	Grm2 Gprc1b Mglur2	Mus musculus (Mouse)	872	GO:0001641; GO:0005246; GO:0007216; GO:0010467; GO:0014047; GO:0014048; GO:0014059; GO:0030424; GO:0030425; GO:0035095; GO:0042220; GO:0042734; GO:0043005; GO:0051896; GO:0051966; GO:0060292; GO:0090461; GO:0097110; GO:0097449; GO:0098978; GO:0099171; GO:2001023
Q07496	Q07496	reviewed	EPHA4_CHICK	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (cEK8)	EPHA4 CEK8	Gallus gallus (Chicken)	986	GO:0001756; GO:0004672; GO:0005004; GO:0005005; GO:0005524; GO:0005737; GO:0005886; GO:0007155; GO:0007411; GO:0018108; GO:0030425; GO:0031901; GO:0035282; GO:0043087; GO:0046777; GO:0048013; GO:0097155; GO:0097161; GO:2001108
Q9D2U5	Q9D2U5	reviewed	LSMD1_MOUSE	N-alpha-acetyltransferase 38, NatC auxiliary subunit (LSM domain-containing protein 1)	Naa38 Lsmd1	Mus musculus (Mouse)	125	GO:0005634; GO:0005654; GO:0005737; GO:0005844; GO:0031417; GO:0043066
Q5PPR6	Q5PPR6	reviewed	CB5D1_XENLA	Cytochrome b5 domain-containing protein 1	cyb5d1	Xenopus laevis (African clawed frog)	217	GO:0003356; GO:0005737; GO:0005856; GO:0042995; GO:0046872
P41437	P41437	reviewed	IAP3_NPVOP	E3 ubiquitin-protein ligase IAP-3 (EC 2.3.2.27) (IAP-3) (RING-type E3 ubiquitin transferase IAP-3)	IAP3 IAP ORF35	Orgyia pseudotsugata multicapsid polyhedrosis virus (OpMNPV)	268	GO:0016740; GO:0039648; GO:0046872
Q8BVA2	Q8BVA2	reviewed	TM222_MOUSE	Transmembrane protein 222	Tmem222 D4Ertd196e	Mus musculus (Mouse)	208	GO:0016020; GO:0030425
P49337	P49337	reviewed	WNT4_CHICK	Protein Wnt-4	WNT4 WNT-4	Gallus gallus (Chicken)	351	GO:0005109; GO:0005125; GO:0005615; GO:0005737; GO:0014858; GO:0030182; GO:0045165; GO:0060070; GO:0060993; GO:0061036; GO:1902811; GO:2000180
Q7JW12	Q7JW12	reviewed	TMX2_DROME	Thioredoxin-related transmembrane protein 2 homolog (Thioredoxin domain-containing protein 14 homolog)	CG11007	Drosophila melanogaster (Fruit fly)	271	GO:0015036; GO:0016020; GO:0043227
E9PYK3	E9PYK3	reviewed	PARP4_MOUSE	Protein mono-ADP-ribosyltransferase PARP4 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 4) (ARTD4) (Poly [ADP-ribose] polymerase 4) (PARP-4) (Vault poly(ADP-ribose) polymerase) (VPARP) (mVparp)	Parp4 Kiaa0177	Mus musculus (Mouse)	1969	GO:0003950; GO:0005634; GO:0005654; GO:0005737; GO:0005819; GO:0005829; GO:0005876; GO:0006954; GO:0008219; GO:0016779; GO:0019899; GO:0036211; GO:0051972; GO:1990404; GO:1990904
Q4R4V8	Q4R4V8	reviewed	EI2BA_MACFA	Translation initiation factor eIF-2B subunit alpha (eIF-2B GDP-GTP exchange factor subunit alpha)	EIF2B1 QtrA-13377	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	305	GO:0003743; GO:0005737; GO:0005851; GO:0006413; GO:0014003; GO:0050852
Q8WW62	Q8WW62	reviewed	TMED6_HUMAN	Transmembrane emp24 domain-containing protein 6 (p24 family protein gamma-5) (p24gamma5)	TMED6 UNQ9146/PRO34237	Homo sapiens (Human)	240	GO:0005783; GO:0005789; GO:0005793; GO:0005794; GO:0006886; GO:0006888; GO:0007030; GO:0030134
P53505	P53505	reviewed	ACT5_XENLA	Actin, cytoplasmic type 5 (EC 3.6.4.-)		Xenopus laevis (African clawed frog)	376	GO:0005524; GO:0005856; GO:0005886; GO:0005925; GO:0016787; GO:0097433
Q9H9J2	Q9H9J2	reviewed	RM44_HUMAN	Large ribosomal subunit protein mL44 (EC 3.1.26.-) (39S ribosomal protein L44, mitochondrial) (L44mt) (MRP-L44)	MRPL44	Homo sapiens (Human)	332	GO:0003723; GO:0003725; GO:0003735; GO:0004519; GO:0005654; GO:0005739; GO:0005743; GO:0005762; GO:0005886; GO:0006364; GO:0016604; GO:0032543; GO:0070125
O55230	O55230	reviewed	RA51D_MOUSE	DNA repair protein RAD51 homolog 4 (R51H3) (RAD51 homolog D) (RAD51-like protein 3)	Rad51d R51h3 Rad51l3	Mus musculus (Mouse)	329	GO:0000400; GO:0000722; GO:0000723; GO:0000724; GO:0000781; GO:0003697; GO:0005524; GO:0005657; GO:0005813; GO:0006974; GO:0007131; GO:0008094; GO:0033063; GO:0036297; GO:0042148; GO:0043015; GO:0051276; GO:0051726; GO:0140664
P28749	P28749	reviewed	RBL1_HUMAN	Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1)	RBL1	Homo sapiens (Human)	1068	GO:0000122; GO:0000785; GO:0000977; GO:0005654; GO:0005667; GO:0006325; GO:0007049; GO:0010629; GO:0030154; GO:0043550; GO:1990841; GO:2000134; GO:2000773
Q3L8U1	Q3L8U1	reviewed	CHD9_HUMAN	Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)	CHD9 KIAA0308 KISH2 PRIC320 AD-013 x0008	Homo sapiens (Human)	2897	GO:0003677; GO:0004386; GO:0005524; GO:0005654; GO:0005829; GO:0016887; GO:0140658
Q58EX7	Q58EX7	reviewed	PKHG4_HUMAN	Puratrophin-1 (Pleckstrin homology domain-containing family G member 4) (PH domain-containing family G member 4) (Purkinje cell atrophy-associated protein 1)	PLEKHG4 PRTPHN1	Homo sapiens (Human)	1191	GO:0005085; GO:0005737; GO:0005829; GO:0005886; GO:0007411; GO:0019898; GO:0051056
O35929	O35929	reviewed	REM1_MOUSE	GTP-binding protein REM 1 (Rad and Gem-like GTP-binding protein 1)	Rem1 Rem	Mus musculus (Mouse)	297	GO:0003924; GO:0005246; GO:0005516; GO:0005525; GO:0005886; GO:1901842
P55042	P55042	reviewed	RAD_HUMAN	GTP-binding protein RAD (RAD1) (Ras associated with diabetes)	RRAD RAD	Homo sapiens (Human)	308	GO:0003924; GO:0005246; GO:0005516; GO:0005525; GO:0005829; GO:0005886; GO:0007264; GO:1901842
P62315	P62315	reviewed	SMD1_MOUSE	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	Snrpd1	Mus musculus (Mouse)	119	GO:0000243; GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005737; GO:0005829; GO:0034709; GO:0034715; GO:0034719; GO:0046540; GO:0071005; GO:0071007; GO:0071011; GO:0071013; GO:0097526; GO:1990446
Q9VU02	Q9VU02	reviewed	SMD1_DROME	Probable small nuclear ribonucleoprotein Sm D1 (Sm-D1) (snRNP core protein D1)	SmD1 snRNP69D CG10753	Drosophila melanogaster (Fruit fly)	124	GO:0000243; GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005829; GO:0030532; GO:0034715; GO:0034719; GO:0071011; GO:0071013; GO:0097526
Q9H0R3	Q9H0R3	reviewed	TM222_HUMAN	Transmembrane protein 222	TMEM222 C1orf160	Homo sapiens (Human)	208	GO:0016020; GO:0030425
Q66KC4	Q66KC4	reviewed	HSDL2_XENTR	Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-)	hsdl2	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	417	GO:0005777; GO:0016491
Q5RAA9	Q5RAA9	reviewed	NPS3A_PONAB	Protein NipSnap homolog 3A (NipSnap3A)	NIPSNAP3A	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	247	GO:0005829
Q5RHR6	Q5RHR6	reviewed	BROMI_DANRE	Protein broad-minded (TBC1 domain family member 32)	tbc1d32 bromi si:dkey-233p4.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1298	GO:0005737; GO:0005929; GO:0035082; GO:0060271; GO:1905515
A2RRT3	A2RRT3	reviewed	FB31A_XENLA	F-box only protein 31-A	fbxo31-a fbxo31	Xenopus laevis (African clawed frog)	519	GO:0006974; GO:0016567; GO:0019005; GO:0031145; GO:0031146; GO:0031571
Q6PJI9	Q6PJI9	reviewed	WDR59_HUMAN	GATOR complex protein WDR59 (WD repeat-containing protein 59)	WDR59 KIAA1923 FP977	Homo sapiens (Human)	974	GO:0005765; GO:0005774; GO:0005829; GO:0032008; GO:0034198; GO:0035591; GO:0035859; GO:0043231; GO:0061700; GO:1904262; GO:1904263
Q9H1A3	Q9H1A3	reviewed	METL9_HUMAN	Protein-L-histidine N-pros-methyltransferase (EC 2.1.1.-) (DORA reverse strand protein) (DREV) (DREV1) (Methyltransferase-like protein 9) (hMETTL9)	METTL9 DREV CGI-81	Homo sapiens (Human)	318	GO:0005739; GO:0005783; GO:0032259; GO:0106370
Q9H1V8	Q9H1V8	reviewed	S6A17_HUMAN	Sodium-dependent neutral amino acid transporter SLC6A17 (Sodium-dependent neurotransmitter transporter NTT4) (Solute carrier family 6 member 17)	SLC6A17 NTT4	Homo sapiens (Human)	727	GO:0005886; GO:0006836; GO:0007420; GO:0008021; GO:0015293; GO:0015804; GO:0015816; GO:0015820; GO:0015824; GO:0030163; GO:0030672; GO:0032328; GO:0035725; GO:0042995; GO:0098794; GO:0098978; GO:0098982; GO:0150104
Q9H0I3	Q9H0I3	reviewed	CC113_HUMAN	Coiled-coil domain-containing protein 113	CCDC113 HSPC065	Homo sapiens (Human)	377	GO:0005930; GO:0032991; GO:0034451; GO:0036064; GO:0060271
P21868	P21868	reviewed	CSK21_CHICK	Casein kinase II subunit alpha (CK II) (EC 2.7.11.1)	CSNK2A1	Gallus gallus (Chicken)	391	GO:0004674; GO:0005524; GO:0005634; GO:0005829; GO:0005956; GO:0016055; GO:0018105; GO:0018107; GO:0048511; GO:0106310
P28020	P28020	reviewed	CSK21_XENLA	Casein kinase II subunit alpha (CK II) (EC 2.7.11.1)	csnk2a1	Xenopus laevis (African clawed frog)	392	GO:0004674; GO:0005524; GO:0005634; GO:0016055; GO:0018105; GO:0106310
Q8BTU1	Q8BTU1	reviewed	CFA20_MOUSE	Cilia- and flagella-associated protein 20 (Gene trap locus 3 protein)	Cfap20 Gtl3	Mus musculus (Mouse)	193	GO:0005654; GO:0005814; GO:0005879; GO:0005929; GO:0018095; GO:0031514; GO:0036064; GO:0060271; GO:0060296; GO:2000147; GO:2000253
P26270	P26270	reviewed	PSMD7_DROME	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Proteasome subunit p39B) (Proteasome subunit p40) (Protein Mov34)	Rpn8 Mov34 CG3416	Drosophila melanogaster (Fruit fly)	338	GO:0000502; GO:0005654; GO:0005829; GO:0005838; GO:0008541; GO:0030425; GO:0043161
Q61329	Q61329	reviewed	ZFHX3_MOUSE	Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3)	Zfhx3 Atbf1	Mus musculus (Mouse)	3726	GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005739; GO:0006357; GO:0007420; GO:0007517; GO:0008270; GO:0016604; GO:0019899; GO:0032922; GO:0045662; GO:0045663; GO:0045664; GO:0045785; GO:0045893; GO:0045944; GO:0071559; GO:1904059
Q8JZL3	Q8JZL3	reviewed	THTPA_MOUSE	Thiamine-triphosphatase (ThTPase) (EC 3.6.1.28)	Thtpa	Mus musculus (Mouse)	224	GO:0000287; GO:0005737; GO:0006772; GO:0016311; GO:0042357; GO:0050333
O46160	O46160	reviewed	RL14_LUMRU	Large ribosomal subunit protein eL14 (60S ribosomal protein L14)	RPL14	Lumbricus rubellus (Humus earthworm)	152	GO:0003723; GO:0003735; GO:0005840; GO:0006412; GO:1990904
F1QXM5	F1QXM5	reviewed	LDHD_DANRE	Probable D-lactate dehydrogenase, mitochondrial (DLD) (Lactate dehydrogenase D) (EC 1.1.2.4)	ldhd	Danio rerio (Zebrafish) (Brachydanio rerio)	497	GO:0004458; GO:0005739; GO:0008720; GO:0050660; GO:0071949; GO:1903457
Q5EAC7	Q5EAC7	reviewed	CPIN1_BOVIN	Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)	CIAPIN1	Bos taurus (Bovine)	310	GO:0005654; GO:0005730; GO:0005737; GO:0005758; GO:0006915; GO:0009055; GO:0016226; GO:0030097; GO:0043066; GO:0046872; GO:0051537; GO:0051539
E2RYF8	E2RYF8	reviewed	TPX2_PATPE	Targeting protein for Xklp2 homolog (TPX2 homolog) (Microtubule-associated protein TPX2 homolog)	TPX2	Patiria pectinifera (Starfish) (Asterina pectinifera)	891	GO:0005634; GO:0005737; GO:0005819; GO:0005874; GO:0032147; GO:0060236
Q924T7	Q924T7	reviewed	RNF31_MOUSE	E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.31) (HOIL-1-interacting protein) (HOIP) (Putative Ariadne-like ubiquitin ligase) (PAUL) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31)	Rnf31 Paul	Mus musculus (Mouse)	1066	GO:0000209; GO:0004842; GO:0005829; GO:0009898; GO:0016567; GO:0023035; GO:0031625; GO:0035631; GO:0036435; GO:0042742; GO:0042802; GO:0043123; GO:0043130; GO:0046872; GO:0050852; GO:0051092; GO:0060546; GO:0061630; GO:0070530; GO:0071797; GO:0097039; GO:1904417; GO:1990450
Q78S06	Q78S06	reviewed	SYS1_MOUSE	Protein SYS1 homolog	Sys1	Mus musculus (Mouse)	156	GO:0000139; GO:0005802; GO:0005829; GO:0006895; GO:0034067; GO:0043001
Q96QK1	Q96QK1	reviewed	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35 MEM3 TCCCTA00141	Homo sapiens (Human)	796	GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005829; GO:0006886; GO:0007040; GO:0010008; GO:0010628; GO:0010629; GO:0010821; GO:0014069; GO:0016055; GO:0016241; GO:0030904; GO:0030906; GO:0031647; GO:0031648; GO:0031748; GO:0032456; GO:0032463; GO:0036010; GO:0042147; GO:0043005; GO:0043025; GO:0043653; GO:0045056; GO:0045732; GO:0048471; GO:0050728; GO:0050804; GO:0050882; GO:0051246; GO:0060161; GO:0060548; GO:0061357; GO:0070062; GO:0090128; GO:0090141; GO:0090263; GO:0090326; GO:0097422; GO:0098691; GO:0098793; GO:0098887; GO:0098978; GO:0099003; GO:0099073; GO:0099074; GO:0099639; GO:0150052; GO:1901215; GO:1902823; GO:1902950; GO:1903181; GO:1903828; GO:1905166; GO:1905606; GO:2000331
Q3ZBX6	Q3ZBX6	reviewed	RM03_BOVIN	Large ribosomal subunit protein uL3m (39S ribosomal protein L3, mitochondrial) (L3mt) (MRP-L3)	MRPL3	Bos taurus (Bovine)	348	GO:0003735; GO:0005743; GO:0005762; GO:0006412
Q8TB96	Q8TB96	reviewed	TIP_HUMAN	T-cell immunomodulatory protein (Protein TIP) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin)	ITFG1 LNKN-1 TIP CDA08	Homo sapiens (Human)	612	GO:0005886; GO:0070062
Q5R6J1	Q5R6J1	reviewed	S6A19_PONAB	Sodium-dependent neutral amino acid transporter B(0)AT1 (Solute carrier family 6 member 19) (System B(0) neutral amino acid transporter AT1)	SLC6A19 B0AT1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	634	GO:0015175; GO:0015293; GO:0016324
Q2LAM0	Q2LAM0	reviewed	FA2H_RAT	Fatty acid 2-hydroxylase (EC 1.14.18.-) (Fatty acid alpha-hydroxylase)	Fa2h Faah	Rattus norvegicus (Rat)	372	GO:0001949; GO:0005506; GO:0005783; GO:0005789; GO:0006631; GO:0006633; GO:0006679; GO:0006682; GO:0016020; GO:0020037; GO:0030258; GO:0032286; GO:0032287; GO:0042127; GO:0042634; GO:0044857; GO:0046513; GO:0061436; GO:0080132; GO:1904002; GO:1904697
C9ZN16	C9ZN16	reviewed	FAZ1_TRYB9	Flagellar attachment zone protein 1	TbgDal_IV3690	Trypanosoma brucei gambiense (strain MHOM/CI/86/DAL972)	1748	GO:0031514
P51152	P51152	reviewed	RAB12_CANLF	Ras-related protein Rab-12	RAB12	Canis lupus familiaris (Dog) (Canis familiaris)	208	GO:0000139; GO:0003924; GO:0005525; GO:0005764; GO:0005765; GO:0005768; GO:0005776; GO:0005886; GO:0006904; GO:0006914; GO:0008021; GO:0008333; GO:0009306; GO:0017157; GO:0019003; GO:0030140; GO:0030163; GO:0032482; GO:0048210; GO:0055038; GO:0072659
Q6PDL0	Q6PDL0	reviewed	DC1L2_MOUSE	Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic)	Dync1li2 Dncli2 Dnclic2	Mus musculus (Mouse)	492	GO:0000226; GO:0000776; GO:0005524; GO:0005764; GO:0005770; GO:0005813; GO:0005868; GO:0005874; GO:0007018; GO:0030286; GO:0042802; GO:0045504; GO:0051642; GO:1990090
